n_estimators,max_depth,min_samples_split,accuracy,silhouette_score,precision_R,recall_R,f1_R,precision_S,recall_S,f1_S,precision_I,recall_I,f1_I
50,10.0,2,0.6431902985074627,-0.059649307,0.674,0.3803611738148984,0.4862914862914863,0.6338199513381995,0.8705096073517126,0.7335445265751496,0.0,0.0,0.0
50,10.0,5,0.6455223880597015,-0.059649307,0.6802443991853361,0.37697516930022573,0.4851125635439361,0.6352087114337568,0.8771929824561403,0.7368421052631579,0.0,0.0,0.0
50,10.0,10,0.648320895522388,-0.059649307,0.6939203354297694,0.37358916478555304,0.4856933235509905,0.6352729454109178,0.8847117794486216,0.7395251396648045,0.0,0.0,0.0
50,20.0,2,0.59375,-0.059649307,0.5458333333333333,0.4435665914221219,0.48941469489414696,0.621030345800988,0.7351712614870509,0.6732976281560826,0.0,0.0,0.0
50,20.0,5,0.6012126865671642,-0.059649307,0.5570175438596491,0.43002257336343114,0.4853503184713376,0.6223440712816998,0.758563074352548,0.6837349397590361,0.0,0.0,0.0
50,20.0,10,0.6110074626865671,-0.059649307,0.5733532934131736,0.4322799097065463,0.4929214929214929,0.6280487804878049,0.7744360902255639,0.6936026936026936,0.0,0.0,0.0
50,,2,0.570429104477612,-0.059649307,0.5064935064935064,0.48419864559819414,0.49509521061742645,0.6193447737909517,0.6633249791144528,0.6405808793868495,0.0,0.0,0.0
50,,5,0.5806902985074627,-0.059649307,0.5188916876574308,0.4650112866817156,0.49047619047619045,0.6179525222551929,0.695906432748538,0.6546168958742633,0.0,0.0,0.0
50,,10,0.5993470149253731,-0.059649307,0.5442875481386393,0.4785553047404063,0.5093093093093093,0.6307692307692307,0.7192982456140351,0.6721311475409836,0.0,0.0,0.0
100,10.0,2,0.6459888059701493,-0.059649307,0.6853002070393375,0.37358916478555304,0.4835646457268079,0.6345574954846478,0.8805346700083542,0.7375787263820853,0.0,0.0,0.0
100,10.0,5,0.6478544776119403,-0.059649307,0.6863543788187373,0.3803611738148984,0.48946986201888165,0.6364186327888687,0.8788638262322472,0.7382456140350877,0.0,0.0,0.0
100,10.0,10,0.6455223880597015,-0.059649307,0.6868475991649269,0.37133182844243795,0.48205128205128206,0.6336336336336337,0.8813700918964077,0.7372466806429071,0.0,0.0,0.0
100,20.0,2,0.5960820895522388,-0.059649307,0.5479833101529903,0.44469525959367945,0.49096573208722744,0.6234132581100141,0.7385129490392648,0.6760994263862332,0.0,0.0,0.0
100,20.0,5,0.5988805970149254,-0.059649307,0.5527488855869243,0.4198645598194131,0.477228992944195,0.619986403806934,0.7619047619047619,0.6836581709145427,0.0,0.0,0.0
100,20.0,10,0.6021455223880597,-0.059649307,0.56071964017991,0.4221218961625282,0.4816484224082421,0.6208530805687204,0.7660818713450293,0.6858638743455497,0.0,0.0,0.0
100,,2,0.5713619402985075,-0.059649307,0.5084134615384616,0.47742663656884876,0.49243306169965073,0.6183500385505012,0.6700083542188805,0.6431435445068163,0.0,0.0,0.0
100,,5,0.5876865671641791,-0.059649307,0.5277078085642317,0.4729119638826185,0.4988095238095238,0.6238872403560831,0.7025898078529658,0.6609037328094303,0.0,0.0,0.0
100,,10,0.6012126865671642,-0.059649307,0.5495376486129459,0.46952595936794583,0.5063907486305539,0.6294160057678443,0.7293233082706767,0.6756965944272446,0.0,0.0,0.0
200,10.0,2,0.6464552238805971,-0.059649307,0.6881496881496881,0.37358916478555304,0.4842721287490856,0.6343956704750451,0.8813700918964077,0.7377622377622378,0.0,0.0,0.0
200,10.0,5,0.6469216417910447,-0.059649307,0.6895833333333333,0.37358916478555304,0.48462664714494874,0.6346153846153846,0.8822055137844611,0.7382034253757428,0.0,0.0,0.0
200,10.0,10,0.6459888059701493,-0.059649307,0.6890756302521008,0.37020316027088035,0.48164464023494863,0.6336930455635491,0.8830409356725146,0.737870855148342,0.0,0.0,0.0
200,20.0,2,0.59375,-0.059649307,0.5455840455840456,0.4322799097065463,0.482367758186398,0.6206415620641562,0.7435254803675856,0.6765488407449639,0.0,0.0,0.0
200,20.0,5,0.6021455223880597,-0.059649307,0.5591715976331361,0.42663656884875845,0.4839948783610755,0.6219346049046321,0.7627401837928154,0.6851782363977486,0.0,0.0,0.0
200,20.0,10,0.6068097014925373,-0.059649307,0.5705614567526556,0.42437923250564336,0.4867313915857605,0.622895622895623,0.772765246449457,0.6897837434750187,0.0,0.0,0.0
200,,2,0.5760261194029851,-0.059649307,0.5158924205378973,0.4762979683972912,0.4953051643192488,0.6196646341463414,0.6791979949874687,0.648066958947788,0.0,0.0,0.0
200,,5,0.5825559701492538,-0.059649307,0.5211970074812967,0.4717832957110609,0.495260663507109,0.6196868008948546,0.6942355889724311,0.6548463356973995,0.0,0.0,0.0
200,,10,0.59375,-0.059649307,0.540720961281709,0.45711060948081267,0.4954128440366973,0.6222222222222222,0.7251461988304093,0.6697530864197531,0.0,0.0,0.0
