LLE_Components,Accuracy,Best_Params,Precision_R,Recall_R,F1_R,Precision_S,Recall_S,F1_S,Precision_I,Recall_I,F1_I
2,0.48521183053557154,"{'class_weight': 'balanced_subsample', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",0.42787996127783157,0.4225621414913958,0.4252044252044252,0.5666912306558585,0.5560375994215474,0.5613138686131387,0.026785714285714284,0.0410958904109589,0.032432432432432434
3,0.5,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.4346978557504873,0.42638623326959846,0.4305019305019305,0.5629370629370629,0.5820679681851049,0.5723426946320654,0.0,0.0,0.0
5,0.5139888089528377,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.4498539435248296,0.4416826003824092,0.44573082489146165,0.5724233983286908,0.5943600867678959,0.583185526782547,0.05128205128205128,0.0273972602739726,0.03571428571428571
10,0.5391686650679457,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",0.4720430107526882,0.4196940726577438,0.444331983805668,0.586340206185567,0.6579898770788142,0.6201022146507666,0.0,0.0,0.0
