n_neighbors,min_dist,metric,threshold,test_size,n_estimators,max_depth,min_samples_split,accuracy,silhouette_score,precision_R,recall_R,f1_R,precision_S,recall_S,f1_S,precision_I,recall_I,f1_I
10,0.1,euclidean,0.1,0.2,50,10.0,2,0.6587412587412588,-0.005280437,0.6674937965260546,0.45826235093696766,0.5434343434343434,0.6553067185978578,0.8423028785982478,0.7371303395399781,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,50,10.0,5,0.6615384615384615,-0.005280437,0.6759493670886076,0.454855195911414,0.5437881873727087,0.6560386473429952,0.8498122653316645,0.7404580152671756,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,50,10.0,10,0.6489510489510489,-0.005280437,0.6486486486486487,0.4497444633730835,0.5311871227364185,0.6490713587487781,0.8310387984981227,0.7288693743139407,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,50,20.0,2,0.6426573426573426,-0.005280437,0.6091269841269841,0.5229982964224872,0.5627864344637947,0.6616216216216216,0.7659574468085106,0.7099767981438515,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,50,20.0,5,0.6363636363636364,-0.005280437,0.5992063492063492,0.514480408858603,0.5536205316223648,0.6565874730021598,0.7609511889862328,0.7049275362318841,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,50,20.0,10,0.651048951048951,-0.005280437,0.6294736842105263,0.5093696763202725,0.5630885122410546,0.6621196222455404,0.7897371714643304,0.7203196347031964,0.5,0.022727272727272728,0.043478260869565216
10,0.1,euclidean,0.1,0.2,50,,2,0.6230769230769231,-0.005280437,0.5679862306368331,0.5621805792163543,0.565068493150685,0.6623376623376623,0.7021276595744681,0.6816524908869988,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,50,,5,0.6244755244755245,-0.005280437,0.5719360568383659,0.5485519591141397,0.56,0.6597222222222222,0.7133917396745932,0.6855081178592904,0.3333333333333333,0.022727272727272728,0.0425531914893617
10,0.1,euclidean,0.1,0.2,50,,10,0.6328671328671329,-0.005280437,0.5897920604914934,0.5315161839863713,0.5591397849462365,0.658157602663707,0.7421777221526908,0.6976470588235294,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,10.0,2,0.6622377622377622,-0.005280437,0.6776649746192893,0.454855195911414,0.5443425076452599,0.6563706563706564,0.851063829787234,0.7411444141689373,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,10.0,5,0.6601398601398601,-0.005280437,0.6734177215189874,0.45315161839863716,0.5417515274949084,0.6550724637681159,0.8485607008760951,0.7393675027262814,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,10.0,10,0.6573426573426573,-0.005280437,0.6675062972292192,0.4514480408858603,0.5386178861788617,0.6534365924491772,0.8448060075093867,0.7368995633187773,0.0,0.0,0.0
